datetime_utc, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm
2000-06-07,15.835868924391146,0.05322649901683358,0.0003058070308706081,52.329248146201905,2065.364382702118,0.03513536511814844,2.0183264037460136e-05,26.504490687404907
2000-06-08,15.835868924391146,0.05322649901683358,0.0003058070308706081,52.329248146201905,2065.364382702118,0.03513536511814844,2.0183264037460136e-05,26.504490687404907
2000-06-09,15.835868924391146,0.05322649901683358,0.0003058070308706081,52.329248146201905,2065.364382702118,0.03513536511814844,2.0183264037460136e-05,26.504490687404907
2000-06-10,23.142857142857142,0.0,0.0,76.28571428571429,1000.2857142857143,0.0,0.0,27.714285714285715
2000-06-11,20.565217391304348,0.0,0.0,51.391304347826086,999.7826086956521,0.0,0.0,32.17391304347826
2000-06-12,19.5,0.0,0.0,46.708333333333336,540.75,0.0,0.0,32.625
2000-06-13,21.11111111111111,0.0,0.0,53.166666666666664,998.0555555555555,0.1111111111111111,0.0,31.77777777777778
2000-06-14,20.652173913043477,0.0,0.0,42.608695652173914,997.5652173913044,0.0,0.0,35.30434782608695
2000-06-15,20.782608695652176,0.0,0.0,44.34782608695652,997.2173913043479,0.0,0.0,34.82608695652174
2000-06-16,21.454545454545453,0.0,0.0,56.36363636363637,997.9090909090909,0.0,0.0,31.227272727272727
2000-06-17,22.125,0.0,0.0,50.25,997.7083333333334,0.0,0.0,34.25
2000-06-18,21.82608695652174,0.0,0.0,49.04347826086956,998.304347826087,0.0,0.0,34.30434782608695
2000-06-19,21.347826086956523,0.0,0.0,53.08695652173913,999.6086956521739,0.0,0.0,32.17391304347826
2000-06-20,22.26086956521739,0.0,0.0,58.52173913043478,1000.0,0.0,0.0,31.434782608695652
2000-06-21,21.608695652173914,0.0,0.0,48.08695652173913,998.0434782608696,0.0,0.0,34.69565217391305
2000-06-22,18.347826086956523,0.0,0.0,46.82608695652174,998.4782608695652,0.08695652173913043,0.0,31.565217391304348
2000-06-23,19.40909090909091,0.0,0.0,53.63636363636363,1000.4545454545455,0.0,0.0,29.90909090909091
2000-06-24,18.545454545454547,0.0,0.0,45.09090909090909,998.0909090909091,0.0,0.0,32.27272727272727
2000-06-25,18.652173913043477,0.0,0.0,40.47826086956522,518.8695652173913,0.0,0.0,34.08695652173913
2000-06-26,17.90909090909091,0.0,0.0,39.0,498.3181818181818,0.0,0.0,34.04545454545455
2000-06-27,17.956521739130434,0.0,0.0,42.78260869565217,999.5217391304348,0.0,0.0,32.73913043478261
2000-06-28,19.916666666666668,0.0,0.0,50.833333333333336,1001.125,0.0,0.0,31.541666666666668
2000-06-29,19.652173913043477,0.0,0.0,53.56521739130435,1000.9130434782609,0.13043478260869565,0.0,30.217391304347824
2000-06-30,22.136363636363637,0.0,0.0,65.0909090909091,1000.3636363636364,0.045454545454545456,0.0,29.363636363636363
2000-07-01,20.695652173913043,0.0,0.0,55.130434782608695,1000.3478260869565,0.08695652173913043,0.0,30.73913043478261
2000-07-02,20.041666666666668,0.0,0.0,56.875,1000.75,0.041666666666666664,0.0,29.541666666666668
2000-07-03,20.541666666666668,0.0,0.0,52.333333333333336,1000.5,0.0,0.0,31.541666666666668
2000-07-04,20.541666666666668,0.0,0.0,49.0,1000.0833333333334,0.0,0.0,32.708333333333336
2000-07-05,21.0,0.0,0.0,44.0,998.625,0.0,0.0,35.208333333333336
2000-07-06,19.52173913043478,0.0,0.0,38.56521739130435,996.695652173913,0.0,0.0,36.0
2000-07-07,18.416666666666668,0.0,0.0,42.708333333333336,997.7916666666666,0.041666666666666664,0.0,32.75
2000-07-08,18.47826086956522,0.0,0.0,48.04347826086956,519.0,0.0,0.0,30.652173913043477
2000-07-09,19.80952380952381,0.0,0.0,46.04761904761905,995.5238095238095,0.0,0.0,32.857142857142854
2000-07-10,18.291666666666668,0.0,0.0,46.666666666666664,537.7083333333334,0.041666666666666664,0.0,31.125
2000-07-11,18.916666666666668,0.0,0.0,55.083333333333336,997.1666666666666,0.20833333333333334,0.0,28.791666666666668
2000-07-12,19.272727272727273,0.0,0.0,55.09090909090909,997.8181818181819,0.13636363636363635,0.0,29.227272727272727
2000-07-13,18.75,0.0,0.0,50.166666666666664,997.25,0.041666666666666664,0.0,30.333333333333332
